id,text,original_label,label,question,A,B,C,D,E,F
1437,Werder make 10-man Ajax pay price,"['0', '3', '0', '22', '3', '6']","[0.0, 0.08823529411764706, 0.0, 0.6470588235294118, 0.08823529411764706, 0.17647058823529413]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
846,"Scorpion on a plane, a pantful of pain","['6', '2', '49', '0', '13', '14']","[0.07142857142857142, 0.023809523809523808, 0.5833333333333334, 0.0, 0.15476190476190477, 0.16666666666666666]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1214,Area should get 3-5 inches of snow today,"['0', '0', '2', '28', '0', '16']","[0.0, 0.0, 0.043478260869565216, 0.6086956521739131, 0.0, 0.34782608695652173]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1125,Bush officials: no big move in Iraq plan ,"['20', '13', '24', '0', '19', '0']","[0.2631578947368421, 0.17105263157894737, 0.3157894736842105, 0.0, 0.25, 0.0]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
536,Bernhard set to leave Volkswagen,"['11', '0', '0', '0', '40', '22']","[0.1506849315068493, 0.0, 0.0, 0.0, 0.547945205479452, 0.3013698630136986]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
962,Weight-loss drug to be sold over the counter,"['0', '0', '7', '33', '7', '16']","[0.0, 0.0, 0.1111111111111111, 0.5238095238095238, 0.1111111111111111, 0.25396825396825395]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1463,Latest food-fad -- 'space potatoes',"['0', '5', '9', '1', '9', '30']","[0.0, 0.09259259259259259, 0.16666666666666666, 0.018518518518518517, 0.16666666666666666, 0.5555555555555556]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
725,Howell takes one shot lead in Sony Open,"['0', '0', '0', '47', '0', '8']","[0.0, 0.0, 0.0, 0.8545454545454545, 0.0, 0.14545454545454545]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1445,World tourism sets record in 2006,"['0', '0', '0', '55', '0', '21']","[0.0, 0.0, 0.0, 0.7236842105263158, 0.0, 0.27631578947368424]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
555,Move to ban iPods from crossing the street,"['17', '0', '0', '13', '11', '20']","[0.2786885245901639, 0.0, 0.0, 0.21311475409836064, 0.18032786885245902, 0.32786885245901637]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
763,Secret hotels in Irish countryside,"['0', '0', '2', '3', '0', '43']","[0.0, 0.0, 0.041666666666666664, 0.0625, 0.0, 0.8958333333333334]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
505,Trucks swallowed in subway collapse,"['8', '0', '28', '0', '57', '7']","[0.08, 0.0, 0.28, 0.0, 0.57, 0.07]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
838,Review: virtual 'American Idol' hits right notes,"['0', '0', '0', '38', '0', '17']","[0.0, 0.0, 0.0, 0.6909090909090909, 0.0, 0.3090909090909091]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
520,Carphone Warehouse's mixed signals,"['2', '2', '0', '0', '0', '10']","[0.14285714285714285, 0.14285714285714285, 0.0, 0.0, 0.0, 0.7142857142857143]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1401,South Africa mourns Adelaide Tambo,"['0', '0', '0', '0', '76', '7']","[0.0, 0.0, 0.0, 0.0, 0.9156626506024096, 0.08433734939759036]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1173,Massive mud traps dozens of families,"['6', '0', '56', '0', '76', '32']","[0.03529411764705882, 0.0, 0.32941176470588235, 0.0, 0.4470588235294118, 0.18823529411764706]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1080,Largest ever autism study identifies two genetic culprits,"['0', '0', '12', '16', '21', '30']","[0.0, 0.0, 0.1518987341772152, 0.20253164556962025, 0.26582278481012656, 0.379746835443038]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1112,Cholesterol link in diabetes study,"['0', '0', '22', '13', '28', '23']","[0.0, 0.0, 0.2558139534883721, 0.1511627906976744, 0.32558139534883723, 0.26744186046511625]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1165,Smith can't be buried until hearing,"['13', '16', '0', '0', '59', '21']","[0.11926605504587157, 0.14678899082568808, 0.0, 0.0, 0.5412844036697247, 0.1926605504587156]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
859,Review: PS3 pricey but impressive,"['0', '0', '0', '41', '5', '9']","[0.0, 0.0, 0.0, 0.7454545454545455, 0.09090909090909091, 0.16363636363636364]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1079,Roots of autism more complex than thought,"['0', '0', '15', '1', '25', '45']","[0.0, 0.0, 0.1744186046511628, 0.011627906976744186, 0.29069767441860467, 0.5232558139534884]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
841,John Grisham set for court drama,"['14', '5', '21', '0', '18', '20']","[0.1794871794871795, 0.0641025641025641, 0.2692307692307692, 0.0, 0.23076923076923078, 0.2564102564102564]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
971,China considers Eurobond reserves,"['0', '0', '7', '30', '0', '13']","[0.0, 0.0, 0.14, 0.6, 0.0, 0.26]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
897,Iran to Hit US Interests if Attacked,"['30', '7', '60', '0', '17', '3']","[0.2564102564102564, 0.05982905982905983, 0.5128205128205128, 0.0, 0.1452991452991453, 0.02564102564102564]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1146,Clinical Everton show Moyes means business,"['0', '0', '0', '12', '0', '8']","[0.0, 0.0, 0.0, 0.6, 0.0, 0.4]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
867,UK workers on alert for letter bombs,"['6', '4', '92', '0', '18', '17']","[0.043795620437956206, 0.029197080291970802, 0.6715328467153284, 0.0, 0.13138686131386862, 0.12408759124087591]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1241,Amish discuss shootings,"['4', '1', '28', '0', '31', '10']","[0.05405405405405406, 0.013513513513513514, 0.3783783783783784, 0.0, 0.4189189189189189, 0.13513513513513514]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1200,"Dolphins, sea lions may report for duty soon","['0', '0', '1', '33', '2', '12']","[0.0, 0.0, 0.020833333333333332, 0.6875, 0.041666666666666664, 0.25]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
875,"Briefly: preloaded iPods, Wal-Mart movies, Apple stores","['0', '0', '0', '9', '0', '2']","[0.0, 0.0, 0.0, 0.8181818181818182, 0.0, 0.18181818181818182]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1432,Updates on world's top stories,"['0', '0', '2', '0', '0', '1']","[0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.3333333333333333]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
803,Mistrial for officer who refused to go to Iraq,"['21', '4', '13', '9', '27', '6']","[0.2625, 0.05, 0.1625, 0.1125, 0.3375, 0.075]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
643,"Bush authorized Iranians' arrest in Iraq, Rice says","['47', '33', '19', '0', '38', '17']","[0.3051948051948052, 0.21428571428571427, 0.12337662337662338, 0.0, 0.24675324675324675, 0.11038961038961038]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1323,Anna Nicole Smith's Bahamas home seized,"['2', '5', '9', '1', '49', '19']","[0.023529411764705882, 0.058823529411764705, 0.10588235294117647, 0.011764705882352941, 0.5764705882352941, 0.2235294117647059]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
829,"Far away, Super Bowl's losers will be champs","['0', '0', '0', '56', '15', '3']","[0.0, 0.0, 0.0, 0.7567567567567568, 0.20270270270270271, 0.04054054054054054]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
827,Looking beyond the iPhone,"['0', '0', '4', '11', '0', '14']","[0.0, 0.0, 0.13793103448275862, 0.3793103448275862, 0.0, 0.4827586206896552]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
979,Review: Nokia 5300 Xpress Music,"['0', '0', '0', '20', '0', '4']","[0.0, 0.0, 0.0, 0.8333333333333334, 0.0, 0.16666666666666666]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
715,Christian values guide Dungy and the Colts,"['0', '0', '0', '27', '0', '13']","[0.0, 0.0, 0.0, 0.675, 0.0, 0.325]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
847,Male sweat boosts women's hormone levels,"['0', '11', '0', '17', '0', '54']","[0.0, 0.13414634146341464, 0.0, 0.2073170731707317, 0.0, 0.6585365853658537]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
701,"Congolese soldiers riot, loot over pay issue","['55', '17', '46', '0', '43', '0']","[0.3416149068322981, 0.10559006211180125, 0.2857142857142857, 0.0, 0.2670807453416149, 0.0]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
717,Passing exchange becomes political flashpoint,"['4', '0', '4', '0', '3', '0']","[0.36363636363636365, 0.0, 0.36363636363636365, 0.0, 0.2727272727272727, 0.0]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
762,Iran and Nicaraguan leaders meet,"['3', '2', '17', '22', '10', '12']","[0.045454545454545456, 0.030303030303030304, 0.25757575757575757, 0.3333333333333333, 0.15151515151515152, 0.18181818181818182]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1243,Can North Korea be trusted?,"['15', '14', '21', '0', '6', '8']","[0.234375, 0.21875, 0.328125, 0.0, 0.09375, 0.125]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1442,The breast cancer breakthrough saving 1000 women a year,"['3', '0', '4', '55', '3', '39']","[0.028846153846153848, 0.0, 0.038461538461538464, 0.5288461538461539, 0.028846153846153848, 0.375]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1239,Tell your boss: Naps are good for you,"['0', '0', '0', '40', '0', '36']","[0.0, 0.0, 0.0, 0.5263157894736842, 0.0, 0.47368421052631576]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1101,A shot in the arm,"['0', '0', '53', '0', '9', '3']","[0.0, 0.0, 0.8153846153846154, 0.0, 0.13846153846153847, 0.046153846153846156]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1039,US soldiers die in day of violence,"['32', '14', '28', '0', '89', '0']","[0.19631901840490798, 0.08588957055214724, 0.17177914110429449, 0.0, 0.5460122699386503, 0.0]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
572,EU will urge China to go green,"['8', '0', '5', '34', '3', '12']","[0.12903225806451613, 0.0, 0.08064516129032258, 0.5483870967741935, 0.04838709677419355, 0.1935483870967742]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
772,Bird watchers flock to see rare owl,"['0', '0', '0', '49', '0', '37']","[0.0, 0.0, 0.0, 0.5697674418604651, 0.0, 0.43023255813953487]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
694,US millions fail to buy influence in deadly Gaza power play,"['18', '18', '23', '6', '43', '13']","[0.1487603305785124, 0.1487603305785124, 0.19008264462809918, 0.049586776859504134, 0.35537190082644626, 0.10743801652892562]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1130,Sony apologizes for battery recall,"['4', '8', '4', '20', '13', '10']","[0.06779661016949153, 0.13559322033898305, 0.06779661016949153, 0.3389830508474576, 0.22033898305084745, 0.1694915254237288]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1120,Lawyer for deceased Nazi-era collaborator Papon vows to bury him ,"['23', '12', '16', '16', '22', '10']","[0.23232323232323232, 0.12121212121212122, 0.16161616161616163, 0.16161616161616163, 0.2222222222222222, 0.10101010101010101]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1021,"Books on science: The problems in modeling nature, with its unruly natural tendencies","['0', '0', '7', '0', '8', '12']","[0.0, 0.0, 0.25925925925925924, 0.0, 0.2962962962962963, 0.4444444444444444]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1015,"Baghdad plan is a success, Iraq prime minister tells Bush","['14', '15', '17', '45', '16', '17']","[0.11290322580645161, 0.12096774193548387, 0.13709677419354838, 0.3629032258064516, 0.12903225806451613, 0.13709677419354838]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
595,Russia plans major military build-up,"['27', '15', '75', '17', '22', '22']","[0.15168539325842698, 0.08426966292134831, 0.42134831460674155, 0.09550561797752809, 0.12359550561797752, 0.12359550561797752]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
981,Black hole triplets spotted,"['0', '0', '11', '17', '0', '42']","[0.0, 0.0, 0.15714285714285714, 0.24285714285714285, 0.0, 0.6]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1247,"Go ahead, take a nap, science says","['0', '0', '0', '39', '0', '40']","[0.0, 0.0, 0.0, 0.4936708860759494, 0.0, 0.5063291139240507]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
646,Senator Carl Krueger thinks iPods can kill you,"['6', '0', '33', '0', '25', '51']","[0.05217391304347826, 0.0, 0.28695652173913044, 0.0, 0.21739130434782608, 0.4434782608695652]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
533,TBS to pay $2M fine for ad campaign bomb scare,"['25', '32', '45', '11', '28', '43']","[0.1358695652173913, 0.17391304347826086, 0.24456521739130435, 0.059782608695652176, 0.15217391304347827, 0.23369565217391305]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
802,"On road to Kosovo independence, a warning: go slow","['9', '0', '32', '2', '9', '1']","[0.16981132075471697, 0.0, 0.6037735849056604, 0.03773584905660377, 0.16981132075471697, 0.018867924528301886]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1341,Travel chaos as heavy snow hits UK,"['4', '7', '32', '0', '28', '20']","[0.04395604395604396, 0.07692307692307693, 0.3516483516483517, 0.0, 0.3076923076923077, 0.21978021978021978]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
675,Canete wins inaugural Joburg Open,"['0', '0', '0', '70', '0', '7']","[0.0, 0.0, 0.0, 0.9090909090909091, 0.0, 0.09090909090909091]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1220,Group: Video shows chopper go down,"['9', '0', '26', '0', '60', '23']","[0.07627118644067797, 0.0, 0.22033898305084745, 0.0, 0.5084745762711864, 0.19491525423728814]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
843,Iraqis fault delayed U.S. plan in attack,"['34', '19', '29', '2', '17', '24']","[0.272, 0.152, 0.232, 0.016, 0.136, 0.192]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1107,Pediatricians say more cord blood is needed now,"['0', '0', '23', '0', '12', '13']","[0.0, 0.0, 0.4791666666666667, 0.0, 0.25, 0.2708333333333333]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
631,Bollywood's 'Brangelina' engaged,"['0', '0', '0', '71', '1', '24']","[0.0, 0.0, 0.0, 0.7395833333333334, 0.010416666666666666, 0.25]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1315,Swingers more common than most think,"['0', '3', '5', '8', '11', '29']","[0.0, 0.05357142857142857, 0.08928571428571429, 0.14285714285714285, 0.19642857142857142, 0.5178571428571429]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
862,Russia to strengthen its military muscle,"['8', '0', '60', '8', '14', '14']","[0.07692307692307693, 0.0, 0.5769230769230769, 0.07692307692307693, 0.1346153846153846, 0.1346153846153846]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
806,Subway collapse caught on camera,"['0', '0', '48', '0', '54', '23']","[0.0, 0.0, 0.384, 0.0, 0.432, 0.184]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
769,Real Mallorca rock leaders Sevilla,"['0', '0', '0', '32', '0', '0']","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1040,Iraqi suicide attack kills two US troops as militants fight purge,"['28', '16', '54', '0', '69', '8']","[0.16, 0.09142857142857143, 0.30857142857142855, 0.0, 0.3942857142857143, 0.045714285714285714]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1302,Gronholm ahead as Solberg crashes,"['0', '0', '0', '37', '11', '9']","[0.0, 0.0, 0.0, 0.6491228070175439, 0.19298245614035087, 0.15789473684210525]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1499,UN-Google Earth map climate change,"['10', '6', '14', '41', '17', '31']","[0.08403361344537816, 0.05042016806722689, 0.11764705882352941, 0.3445378151260504, 0.14285714285714285, 0.2605042016806723]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
745,Zoo polar bear to have root canal,"['0', '0', '17', '10', '26', '26']","[0.0, 0.0, 0.21518987341772153, 0.12658227848101267, 0.3291139240506329, 0.3291139240506329]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
738,Hackers attack root servers,"['53', '26', '36', '0', '16', '19']","[0.35333333333333333, 0.17333333333333334, 0.24, 0.0, 0.10666666666666667, 0.12666666666666668]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1333,Hatton hands back IBF title again,"['2', '5', '0', '17', '16', '7']","[0.0425531914893617, 0.10638297872340426, 0.0, 0.3617021276595745, 0.3404255319148936, 0.14893617021276595]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
746,Europe take big Royal Trophy lead,"['0', '0', '0', '55', '0', '12']","[0.0, 0.0, 0.0, 0.8208955223880597, 0.0, 0.1791044776119403]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
719,Italy to try US soldier for agent's Iraq death,"['64', '7', '2', '8', '38', '10']","[0.49612403100775193, 0.05426356589147287, 0.015503875968992248, 0.06201550387596899, 0.29457364341085274, 0.07751937984496124]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1205,Study: napping might help heart,"['0', '0', '0', '57', '0', '30']","[0.0, 0.0, 0.0, 0.6551724137931034, 0.0, 0.3448275862068966]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
816,Two Palestinians killed near fence,"['20', '7', '38', '0', '87', '3']","[0.12903225806451613, 0.04516129032258064, 0.24516129032258063, 0.0, 0.5612903225806452, 0.01935483870967742]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1108,Whether to save cord blood can be puzzle for parents,"['0', '0', '13', '8', '0', '29']","[0.0, 0.0, 0.26, 0.16, 0.0, 0.58]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1158,Oxfam: action needed for Chad,"['0', '0', '1', '11', '0', '8']","[0.0, 0.0, 0.05, 0.55, 0.0, 0.4]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1382,Cousin: Gunman was Srebrenica survivor,"['9', '2', '13', '15', '16', '13']","[0.1323529411764706, 0.029411764705882353, 0.19117647058823528, 0.22058823529411764, 0.23529411764705882, 0.19117647058823528]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1257,Mogadishu residents flee blasts,"['4', '0', '35', '8', '22', '14']","[0.04819277108433735, 0.0, 0.42168674698795183, 0.0963855421686747, 0.26506024096385544, 0.1686746987951807]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
606,Israel intensifies military flights over Lebanon,"['29', '15', '60', '0', '40', '8']","[0.19078947368421054, 0.09868421052631579, 0.39473684210526316, 0.0, 0.2631578947368421, 0.05263157894736842]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1029,The summit - a slap in the face of the Palestinians,"['18', '34', '17', '0', '32', '9']","[0.16363636363636364, 0.3090909090909091, 0.15454545454545454, 0.0, 0.2909090909090909, 0.08181818181818182]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
893,Prehistoric Romeo and Juliet discovered,"['0', '0', '5', '53', '3', '44']","[0.0, 0.0, 0.047619047619047616, 0.5047619047619047, 0.02857142857142857, 0.41904761904761906]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1062,Taliban seize rural district in southwest as police flee,"['27', '12', '51', '0', '41', '19']","[0.18, 0.08, 0.34, 0.0, 0.2733333333333333, 0.12666666666666668]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
812,"Justin Timberlake, Cameron Diaz announce split","['0', '0', '12', '0', '76', '9']","[0.0, 0.0, 0.12371134020618557, 0.0, 0.7835051546391752, 0.09278350515463918]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1187,Women protest Pakistan demolition,"['36', '26', '13', '0', '26', '31']","[0.2727272727272727, 0.19696969696969696, 0.09848484848484848, 0.0, 0.19696969696969696, 0.23484848484848486]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1261,Desperate Iraqi mother relies on militia for help,"['14', '3', '21', '0', '67', '21']","[0.1111111111111111, 0.023809523809523808, 0.16666666666666666, 0.0, 0.5317460317460317, 0.16666666666666666]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
