article_id,title,comment_counter,comment_text
17667992,The end of our illusions about Russia,source1_17667992_93,"The only one that had illusions about Russia is Jeffrey Simpson. As for his spurious comments about Ukraine, I will ignore given his lack of understanding"
28228607,Infrastructure spending: Let's do it right,source1_28228607_4,"Many interesting points. I wonder at times if the web of trade agreements, political pressures, and public expectation that projects be Not In My Back Yard; make it impossible to ever really achieve even moderate success."
17391986,Ukraine should let Crimea go. But Putin shouldn't take it,source1_17391986_25,"Outstanding commentary, Christopher Westdal ."
14584602,Why Quebec is right not to try to ban child beauty pageants,source1_14584602_4,Does anyone know why Quebec isn't concerned about its' infrastructure?
21294082,Harper's demise is greatly exaggerated,source1_21294082_152,"Duffy, Wallin, now Ghomeshi. What is going on?"
25594962,"Have I got a bribe (er, cheque) for you!",source1_25594962_41,I am single AND childless. Where is my cheque?
18690272,Drinking comes with staggering costs,source1_18690272_32,'Drinking comes with staggering costs.'Who wrote that headline?
17504489,"As Russia digs in, sensible investors should assume the worst",source1_17504489_4,"As far as Russian goes it can go to H in an hand basket, they are just a bunch of old commies, Putin for sure."
29384119,Wait. What happened to the national Portrait Gallery?,source1_29384119_10,"Conflicting forces talking different languages, emotional need to make national institutions relevant across Can and Archives unwillingness to find a way to be relevant outside of Ottawa, regional partners instead of new bricks?"
18684828,Could Uncle Sam stick us with a border bill?,source1_18684828_29,The Harper government is going to be gone next election. Perhaps the new government will not be such a pushover with respect to the US.
14713240,A new epidemic grips the streets: mental illness,source1_14713240_7,"Vancouver has been Junkie & Druggie Central for a very long time, mostly because of the mild weather."
14065030,The intelligence that gives Obama a better chance of attacking Syria,source1_14065030_6,We actually witnessed the Egyptian police and military gun down hundreds of unarmmed civilians recently. The Isrealis have blown away thousands of Palestinians. Is genoside OK as long as chemical weapons aren't involved?
29060638,Trudeau hits reset on U.S. relations,source1_29060638_5,"Everyone likes the guy with the open checkbook. The UN, the premiers, aboriginals, if you are handing out money you make friends quick."
17860979,It's First Nations money. How did their leaders spend it?,source1_17860979_1,"Lefties, this is not Harpers fault. It is the fault of the FNs leaders."
28351566,Who polices the police? We do,source1_28351566_3,"No one polices the police, that's why they run amok like at the G20 and the Yatim killing."
22543214,A federal deficit in 2015? Talk about an economic non-problem,source1_22543214_41,The Harper government is now 'gaslighting' its supporters in the same way he's gaslighted other groups while many Harper supporters watched with approbation. Hint: Don't try to make sense out of nonsense. Your head will hurt less.
26352002,West shouldn't use 'root causes' to ignore refugee crisis,source1_26352002_21,NO REFUGEES!!!!! Got it?
16088703,"In 2014, searching for signs of life in Ottawa",source1_16088703_16,The problem with Liberals is they have too much baggage as well.
18764297,"For aboriginal women, an inquiry is the quickest route to the slowest response",source1_18764297_5,"Has anyone considered looking for the missing 189 native women, wherever the 4672 missing men and boys are?"
23824990,The suspension of intervention,source1_23824990_18,"The left is never wrong, even if it's wrong."
29514753,Trump comes undone,source1_29514753_105,"A stunning indictment of Obamas performance that would drive people to be this angry and vote for Trump. Who knew that as awful as Bush was, he still outperformed Obama."
31291564,"Okay, really, what's with Trump's hair?",source1_31291564_40,"Okay, really, what?s with Trump?s hair? IAN BURUMA, look at your own picture and tell us what's wrong with your hair. Then you have the audacity to call a billionaire an ignorant and a buffoon, the joke seems its on you."
22793877,The Women's Mosque evolves North American Islam,source1_22793877_21,They go to north America and now the chattels want their own mosque - sacrilidge!
17833818,Quebec election: The PQ's tale of two falsehoods,source1_17833818_12,"quebecers will dump their cognitively dissonent ideologues tomorrow, and canadians will do so in 2015. au plus sacrant!!!"
22634283,"To stop Putin in Ukraine, Obama must offer more than rhetoric",source1_22634283_30,Putin is a fascist and war criminal.
27175310,Canada's blacks: Still waiting for their moment of 'real change',source1_27175310_113,By the time Justin got to the back of his bus the cabinet was full.
24587226,"With Ramadi setback, Obama's global credibility takes another hit",source1_24587226_15,"These guys again..... But anyhow, if Obama, then ditto Harper...."
23886493,"In Toronto's war on 'raccoon nation,' I'm siding with the critters",source1_23886493_13,No mention of rabies?
8836108,Liberals facing battle to preserve B.C. budget surplus,source1_8836108_10,Why cut spending when you can raise money by hiking taxes. Where does it end?
24416814,Elizabeth May lays an egg,source1_24416814_3,If you had trouble taking her seriously before - take another look. What you see is what you get
27281681,Why Canada should continue air strikes against IS,source1_27281681_51,"We should have an embargo on all trade with extreme nations, especially Saudi Arabia. The west should stop all oil imports from Saudi and freeze their bank accounts. They are engine of much of what is wrong in the middle east."
27566968,"Trump: an opportunist for sure, but not a fascist",source1_27566968_6,"The registration of people belonging to an identified religion, is fascism. Trump's absolutely fascist."
25421145,"Conservatives have a healthy voter base, but is it strong enough?",source1_25421145_53,There's still much time for Trudeau to open his mouth and say something smart. Waiting......
22964632,"Medicare, Canada's symbol of contradiction",source1_22964632_7,I find the figure of a four months wait for elective surgery interesting. I had ankle surgery done a few years ago had to wait almost a year
28399833,"If you seize refugees' valuables, you rob them of their dignity",source1_28399833_45,What's offensive is having assets yet relying on the generosity of the accepting country.
15001873,"Liberal values, but no Liberals",source1_15001873_5,I disagree with Madame Gagnon on all the opinions she emits.
26992873,Trudeau's next test: Make change a reality,source1_26992873_19,"He could replace the justice system all my himself, he kicked two MP,s out of his party without even a hearing, but what would all those unemployed lawyers and judges do?"
11689508,Ontario's debt burden just keeps on growing,source1_11689508_24,"Bill Davis where are you? Three cries, the citizens of Ontario!"
26228679,Another small step towards justice for Maher Arar,source1_26228679_1,"But watch what you post about that particular horsey set, just in case, in the (hopefully short) scary era of C-51."
25313964,"Greece, where European politics trumped economics",source1_25313964_9,The upside to left wing protest marches in Greece is no one has to miss work to attend.
22540614,Even Harper wants Quebec,source1_22540614_21,It would be ironic should Mont-Royal elect Ms D?ry as MP while the rest of Canada votes Liberal.
14712141,Province tells transit riders where to get off,source1_14712141_3,"To paraphrase an old joke, Q: 'What's the difference between Canada and a third-world country'A: 'The third-world country has public transport.'The original answer was 'The third-world country has passenger trains.'"
20284034,The problems with Canada's no-fly list,source1_20284034_3,"Is this person on a Canadian no-fly list or a U.S. no-fly list? Does someone flying over U.S. airspace have to pass both no-fly lists? If he can't fly anywhere without going over U.S. airspace, a Canadian-specific no-fly list may not be involved."
26730464,Which conservative party will you vote for?,source1_26730464_10,"I'll take the unimaginative hippies over the unimaginative, racist, fear-mongering proto-facists."
23964989,Quebec student protests: Anarchy in academe,source1_23964989_0,"Masked people invading schools, ISIS would be proud and likely recruiting in the area."
22420631,Ontario brewers should say 'no thanks' to Beer Store's ownership offer,source1_22420631_5,"Unfortunately, there is an aversion to taxes. The Ontario government needs money. If the Beer Store will cough up more dough to Provincial coffers, it will be allowed to remain."
28382249,How Canadians can step up and get refugees out of hotels,source1_28382249_14,"If there are hundreds of refugees stranded in hotels at taxpayers expense, waiting for their lives to begin', it is because Trudeau and his incompetent government took their lives away from them without thinking."
18458930,School? Not for 65 million girls,source1_18458930_4,all out war should be declared against all violent religious extremists - anywhere and everywhere
8028479,Ottawa's botched Mali message,source1_8028479_8,"The true meaning of Mr Harper's goto phrase.'Let me be perfectly clear about this.' Perhaps the habit of denial and obfuscation is now so learned, like some verbal kata, that they just can't help it. (Crane-on-a-rock, meet lying B-tard)"
14184486,Harper wanted wireless competition. All he got was grief,source1_14184486_12,Harper wanted to add one more dick to the rape gang.
9175062,The oil sands are an amazing story Canada's not telling,source1_9175062_65,"Just add it to the growing list of amazing stories Canadians have yet to tell, bud. Just don't glorify it."
16812006,Jim Flaherty's public finance on autopilot,source1_16812006_4,Fiscal prudence indeed. If the fools had not cut the GST there would not have been a deficit and we would have spent the last few years continuing both services and paying down the debt. These are fiscal fools and destructive to boot.
10157546,Obama has put Israel back on the agenda. Now the tough choices begin,source1_10157546_14,Too bad Harper has effectively sidelined Canada from the negotiations.
27445499,"Serial killers, indigenous women and the RCMP's missing data",source1_27445499_4,"What was the role of the former government, especially the PMO, in perhaps vetting the RCMP's report to fit Harper's agenda?"
25187222,"Pets may be a comfort, but that doesn't mean they're service animals",source1_25187222_19,"Dogs are natural followers of people with the right energy, other species not so much. If a person has good control of a dog then I don't see a problem. ..."
26006809,Canada's carbon moment has arrived,source1_26006809_79,"Back in his CIBC days Rubin occasionally offered useful comments on ROBTV as it was then. Since, he has drifted towards being a polemicist. But I cannot imagine what makes him think that associating with Suzuki will regain him credibility."
25671450,U.S. presidential race filled with insiders claiming to be outsiders,source1_25671450_7,"At least Sanders and Trump are not scripted like Hillary. Man, she cannot give any answer without spin."
31719873,"The real threat: Immigrants to Canada, or Kellie Leitch's divisive politics?",source1_31719873_67,The REAL threat-Harperite Leitch carrying on the Harper 'torch'...Canadians will not be fooled by this....aren't all of us immigrants? EXCEPT our First Nations People's!!
29960460,"Money & politics (8): Premier Wynne feels shame, up to a point",source1_29960460_16,There is a massive difference ( as Duffy will find out in time ) between not being illegal or not passing the sniff test. Our little lady in Victoria ( Crispy ) will find that out all to soon. Gawd I hate politicians that cant tell the difference
25976595,"Artificial, banal and contrived. Welcome to the election photo op",source1_25976595_14,Harper photo ops are surprisingly similar to Kim Jong Un's. Both men also have helmet hair too. Maybe there's something to that?
19381723,"Nationalism and the lessons of World War I, 100 years on",source1_19381723_2,"The biggest threat to peace today is not nationalism, but religion."
10329099,Lineup at the border is going to get worse with cutbacks in U.S.,source1_10329099_13,"After waiting for 2.5 hours to get back and forth from WA to BC, I'd rather fly. Road trips used to be fun.. not anymore."
29221153,Tories should be alert to spillover from GOP turmoil,source1_29221153_0,What do you mean by stating 'Canadians are a far cry from the demagogery of Trump or a Cruz'? We've just survived ten very long years of Stephen Harper!
28660059,"Even if the PM can't explain why, his Syria plan could prove to be wise",source1_28660059_59,Our fighter jets did a great job of helping the Kurds fight back ISIS. This is all about Trudeaus ego. He doesn't want to break a promis he made during the election campaign. He has a poor grasp on our military history.
19533911,Homegrown jihadis: Canadians have always fought in other people's wars,source1_19533911_15,a breath of fresh air in a closet full of prejudice.
13576567,The middle class is good politics but a curious crusade,source1_13576567_2,"Konrad Yakabuski, what is the matter with you?"
18047340,It's hard to tell wrong from Wright in the Senate scandal,source1_18047340_23,and who appointed the ethics comissioner?
20959483,Who are the war hawks now?,source1_20959483_12,'Mr. Obama has screwed up everything he?s touched in the Middle East.'As opposed to whom exactly?
30190815,Canada's Conservatives should watch the GOP - to see what they risk becoming,source1_30190815_40,A need to discuss same sex marriage? These people are completely out to lunch - no wonder Harper kept them quiet.
13013931,How Egypt's military coup could strengthen the Muslim Brotherhood,source1_13013931_11,"Nice to be a Muslim. Head I win, tail you lose."
19495555,Anti-spam law is ludicrous regulatory overkill,source1_19495555_25,I had money in my departmental budget this year to hire someone... I had to divert that money to bring my organization into compliance with CASL and hand that money over to lawyers and vendors.
21353455,Why competent city government matters,source1_21353455_9,"Winnipeg also turned down a long time NDP candidate for mayor. She had a large lead in the polls to start, but managed to lose by a substantial margin."
30837063,Five challenges Jason Kenney faces trying to unite Alberta's right,source1_30837063_1,How broad of a coalition can Kenney build if he is running to the right of Brian Jean?
28664948,West must accept some painful realities to reach peace in Syria,source1_28664948_3,This forum has been hacked. See the thumbs downs.
21486580,It was easier to tear down the Wall than to build a better life,source1_21486580_11,Folks love to tear down stuff but history shows the aftermath is often worse. But to those who haven't learned history's lessons this is a surprise.
23228677,The 2022 World Cup? We haven't enough red cards,source1_23228677_7,scathing commentary and mostly well deserved
31692545,Indian status: Why are we still hanging on?,source1_31692545_33,"Legally, the only Indians are people from India. First Nations or Natives is a more appropriate term."
14171672,"To auction off Shakespeare, or not to auction off Shakespeare",source1_14171672_1,"As one who spent many an hour studying in the beautiful Goldsmith's Reading room in the University of London's Senate House, I am pleased by this decision."
23148601,A conflicted feminist falls for The Bachelor,source1_23148601_10,Did you have a glass of wine... other alcohol before watching? If so you could not give consent and you're a victim and not conflicted.
20022417,Is this convoy Putin's Trojan horse?,source1_20022417_25,Who cares? Is this any different than the breakup of Yugoslavia in the 90's?
25504305,Why all the parties are bullish on B.C.,source1_25504305_5,Dispiriting? I'd say those numbers for the Tories gladden the heart of the majority who want a change in government.
29873047,"The terrible news from Fort McMurray, and the hope that remains",source1_29873047_0,I've never been to Fort Mac but my heart is with its working people. It's time to step up and give to the Red Cross to help our neighbours in the West.
14157485,Reconciling Muslim practices with Western principles,source1_14157485_39,Democracy and the teachings of Qur'an are not compatible.
29299206,The biggest questions for Tories aren't about a new leader,source1_29299206_53,"I too welcome Mr. Segal's Opinion piece with nothing but respect. I differ on politics, perhaps, yet i feel compelled both by the difficult questions and the respectful tone in which he presents them."
17948121,"Dissenting opinions? 'Drown them out, drum them out'",source1_17948121_23,"First, they came for the Newfie joke. And, we all celebrated. Then they came for Ayaan Hirsi Ali. There is now hardly anyone left to come for."
32681353,"At Trinity Western, a delicate balance between religious freedom and freedom from discrimination",source1_32681353_36,"In Indonesia, a Governor is facing a blasphemy protest. His offence? He challenged the notion that in a Muslim majority country a Christian can not be leader. Where are the Canadian Secular fundamentalists?"
32717278,Tracking of Quebec journalist a sign of power that's too close for comfort,source1_32717278_2,"Before we know it, we'll find Coderre is getting paid off by Saudis to oppose Energy East."
14706395,Why Ottawa's right to procrastinate on the values charter,source1_14706395_12,"Ah, of course we can see with the clarity of hindsight, Tom, that Steve and company were just giving the extreme nationalists enough rope to hang themselves."
28922048,Why Ontario's budget is a success that dare not speak its name,source1_28922048_17,The Liberals must think that the voters are stupid. Oh. That's right. They are.
30571341,"Without a referendum, electoral reform is unconstitutional",source1_30571341_35,You don't change heritage on a Liberal whim because watch out somebody else can come along and have another whim - Canadians deserve a say
17814761,"So many housing market questions, so little housing data",source1_17814761_0,Stats Canada could compile and report this information without any industry bias or agenda.
31082093,"Twitter, trolls and the messy facts of free speech",source1_31082093_4,"In Western society, free speech is an illusion."
6992362,Education reform trumps property rights in first-nations talks with Tories,source1_6992362_3,"I'm just wondering Ms. Palmater, how is being able to own your own home on your reserve is 'assimilation', while being kept constantly destitute and dependent on Canadian taxpayers isn't?"
15804281,Is CPP becoming Canada's Obamacare?,source1_15804281_26,I prefer self reliance over government by 2 country miles! QED.
19337060,"In the war on drugs, less heroism and more helping",source1_19337060_5,Not gonna happen with Harper and his gang in power.
13816105,A too-humble America,source1_13816105_11,A truly 19th century vision of he future.
25553895,My sick cat: the high cost of saying goodbye,source1_25553895_6,our 13 yr old tabby tigger became constipated. took him to vet. left him overnight. call next morning cat was deceased. 'we did all we could including intravenous life support'. bill $900 to bury our pet. will stick with goldfish for now.
15367866,Ontario Premier sidesteps touchy topic of tax hikes,source1_15367866_19,They should go to the law firm that handled the one billion dollar pay out....and get the money back....Someone has it and it is tax payers money... We don't need a tax hike... we just want back what is ours.
20854510,"The battle against Islamic State will be long, costly and likely fruitless",source1_20854510_3,"Michael, while your arguments make a great deal of sense, what do you suggest the rest of the world (Middle Eastern/Western/Far East) do? ...nothing?Given your scholarship, maybe some alternate suggestions...?"
27954846,"In 2016, only the good news will be unpredictable",source1_27954846_1,My Prediction for 2016 : Trump will splinter off the Regressive Republican vote like Roosevelt did with the Progressive Republican vote back in 1912. The result will end up being another victory for Woodrow Wilson.
27047192,Five takeaways from China's one-child policy,source1_27047192_0,"You can say the one-child policy didn't work, but China could arguably be worse off now if they never had it at all."
9562964,B.C. Liberals adrift in conflicting standards,source1_9562964_10,Is the BC Liberal government Canada's most corrupt? It looks like it.And with all the government stonewalling only the election can clean house.
23023464,"Campus assault rates - troublingly low, indeed",source1_23023464_3,"Rather than point the finger at the CBC, it should be pointed squarely at the modern campus feminist movement."
23790473,"John Baird checks out, then cashes in",source1_23790473_93,"My gawd, this is horrible, absolutely the first time a Canadain politician has cashed in on his prior job as a member of parliament/Cabinet Minister/PM. I am shocked, schocked to find out about this first time occurance...."
16147624,It's time to build democracy 2.0,source1_16147624_26,"Our political systems should evolve and we should not be stuck with a system developed in 17th century Britain. Of course, the Nasty Party does not believe in evolution."
32879856,Stephen Bannon is not the real problem. Donald Trump is,source1_32879856_12,Could a Trump presidency be any worse than all the whining about it?
22859366,Ten ways the new foreign minister can undo Baird's damage,source1_22859366_82,"An inconvenient truth for Heinbecker, an amoral Liberal-era foreign service careerist, is that he was a willing participant in the Durban anti-Semitic conference. It explains his virulent anti-Israel and certain other positions of his."
17778521,The Quebec election is a clash of two charters,source2_17778521_3,The election is a choice between entitled socialism paid for on credit extorted from the rest of Canada versus a conventional provincial party still very much oriented toward profitable Quebecois victimhood.
28612450,"China's millennials are unique, assertive - and potentially destabilizing",source1_28612450_11,"When talking about 'China miracle' we should remember that in the last 15 years China's credit base increased from $3T to $25T. You can have heck of a party for that kind of money, but eventually chickens will come home to roost"
11739700,Rooting through the causes of a garment factory tragedy,source1_11739700_4,"'Rooting through the causes ...'--Uh oh, someone committing sociology."
24519730,Ireland's huge step toward healing,source1_24519730_5,Why can there be a referendum on a human rights issue?
15450322,It's time for a Rob Ford intervention,source1_15450322_40,"That size 60+suit and tie serves as a cloaking device that even the premier cannot penetrate, so Mr. Ford will stay on as mayor."
21330013,We can't legislate lost souls,source1_21330013_13,so he evoked the name of Allahfor God's sake what does that have to do with anything?
16959744,The PQ has reason to be confident,source1_16959744_0,Just goes to show you that a party with a lack of vision and high on incompetence regarding priorities continues to help this current bumbling version of the PQ fall up the ladder.
9146068,A most Canadian compromise: balancing free speech against other rights,source1_9146068_5,"I was going to make a comment, but free speech is no longer accepted in Canada. The high-tech lynching of Tom Flanagan speaks for itself."
22613411,Climate-change consensus is reached everywhere except in Washington,source1_22613411_39,"Since it's all about evidence, what evidence is there that carbon taxes in Canada will fix global warming?"
17720558,"Math education: Mom, what's a 'times table'?",source1_17720558_4,"Just an aside, but I remember when I went to school, the Hilroy notebooks of that era had the times tabls and all sorts of tables on the inside and back cover."
24459445,Mulcair or Trudeau: One must offer real change,source1_24459445_61,The liberals aren't going centrist. They are LEFT of the NDP on many issues. Good thing the NDP is being so toxic towards them that most Liberals will either vote Conservative or stay home when Trudeau's vote collapses.
14150639,Don't complain about more research on Northern Gateway,source1_14150639_6,Stephen's puppet masters in Beijing want their oil. That's why we're paying for the research.
